"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"002","28195","ECPSP 771 (3, 3)","Prof Issues-Sch Psy","TH","7:15 PM - 9:45 PM","Chen, Cliff Yung-Chi","PH 104","0","15","In-Person",
"004","28382","ECPSP 772 (4, 4)","Thry &amp; Pract Asmt Intel &amp; Cog","M","4:35 PM - 8:05 PM","Duke, Deborah","RA 219","0","10","In-Person",
"001","28385","ECPSP 772 (4, 4)","Thry &amp; Pract Asmt Intel &amp; Cog","M","4:35 PM - 8:05 PM","Sebold, Seth","RA 209","0","10","In-Person",
"002","28384","ECPSP 772 (4, 4)","Thry &amp; Pract Asmt Intel &amp; Cog","M","4:35 PM - 8:05 PM","Farrell, Cortney","RA 210","0","10","In-Person",
"003","28383","ECPSP 772 (4, 4)","Thry &amp; Pract Asmt Intel &amp; Cog","M","4:35 PM - 8:05 PM","Looser, Joshua","RA 214","0","10","In-Person",
"001","28408","ECPSP 778 (3, 3)","Counseling Techniq","W","4:35 PM - 7:05 PM","Wershba Gershon, Pamela","PH 031","0","10","In-Person",
"002","28432","ECPSP 778 (3, 3)","Counseling Techniq","W","7:15 PM - 9:45 PM",", ","KY 313","0","10","In-Person",
"003","28452","ECPSP 778 (3, 3)","Counseling Techniq","TH","1:40 PM - 4:30 PM",", ","PH 031","0","10","In-Person",
"004","28172","ECPSP 778 (3, 3)","Counseling Techniq","TH","1:40 PM - 4:30 PM","Wershba Gershon, Pamela","PH 245","0","10","In-Person",
"001","28252","ECPSP 779 (3, 3)","Multicult Iss In Sch","T","4:35 PM - 7:05 PM","Yu, Qiong","KY 281","0","15","In-Person",
"002","28227","ECPSP 779 (3, 3)","Multicult Iss In Sch","TH","4:35 PM - 7:05 PM","Yu, Qiong","KY 427","0","15","In-Person",
"002","28411","ECPSP 781 (3, 3)","Assess Ling &amp; Cultural Diverse","M","4:35 PM - 7:05 PM",", ","PH 010","0","15","In-Person",
"001","28361","ECPSP 781 (3, 3)","Assess Ling &amp; Cultural Diverse","M","4:35 PM - 7:05 PM","Yu, Qiong","PH 231","0","15","In-Person",
"001","28202","ECPSP 860 (3, 3)","Human Development","T","4:35 PM - 7:05 PM",", ","PH 231","0","15","In-Person",
"002","28225","ECPSP 860 (3, 3)","Human Development","TH","4:35 PM - 7:05 PM","Vargas Trujillo, Brendaliz","PH 010","0","15","In-Person",
"001","28448","ECPSP 863 (3, 3)","Exceptionality of Human Devel","W","1:40 PM - 4:30 PM",", ","PH 010","0","15","In-Person",
"002","28402","ECPSP 863 (3, 3)","Exceptionality of Human Devel","W","4:35 PM - 7:05 PM",", ","PH 104","0","15","In-Person",
"004","28197","ECPSP 866 (3, 3)","Seminar in Special Issues","T","7:15 PM - 9:45 PM","Lopez, Emilia","PH 245","0","10","In-Person",
"001","28390","ECPSP 866 (3, 3)","Seminar in Special Issues","M","4:35 PM - 7:05 PM","Lopez, Emilia","RA 205","0","10","In-Person",
"003","28198","ECPSP 866 (3, 3)","Seminar in Special Issues","T","4:35 PM - 7:05 PM","Lopez, Emilia","PH 245","0","10","In-Person",
"002","28450","ECPSP 866 (3, 3)","Seminar in Special Issues","T","1:40 PM - 4:30 PM","Lopez, Emilia","PH 010","0","10","In-Person",
"001","29565","ECPSP 869 (4, 4)","Internship School Psychology","TH","3:15 PM - 4:25 PM","Green, Karen","OL 01","0","10","Online Sync",
"002","29567","ECPSP 869 (4, 4)","Internship School Psychology","TH","3:15 PM - 4:25 PM","Frank, Morton","OL 01","0","10","Online Sync",
"002","29567","ECPSP 869 (4, 4)","Internship School Psychology","TH","3:15 PM - 4:25 PM","Green, Karen","OL 01","0","10","Online Sync",
"001","29566","ECPSP 8691 (4, 4)","Intern Biling/Multi Schl Psych","T","3:15 PM - 4:25 PM","Tuccillo, Maria","OL 01","0","10","Online Sync",
"001","29566","ECPSP 8691 (4, 4)","Intern Biling/Multi Schl Psych","T","3:15 PM - 4:25 PM","Green, Karen","OL 01","0","10","Online Sync",
"005","28526","EECE 201W (3, 3)","Schooling in Diverse Commun","TH","1:00 PM - 3:40 PM","Silverberg, Elaine","PH 016","10","25","In-Person",
"001","28527","EECE 201W (3, 3)","Schooling in Diverse Commun","M","4:35 PM - 7:05 PM","Shady, Ashraf","KY 426","6","25","In-Person",
"004","28594","EECE 201W (3, 3)","Schooling in Diverse Commun","M","1:40 PM - 4:30 PM",", ","PH 015","21","25","In-Person",
"003","28595","EECE 201W (3, 3)","Schooling in Diverse Commun","W","1:40 PM - 4:30 PM","Bradt, Nancy","PH 018","13","25","In-Person",
"002","28400","EECE 220 (3, 3)","Modern Learning Technologies","M","7:15 PM - 9:45 PM","Shin, Sunghee","OL 01","20","25","Online Sync",
"003","28399","EECE 220 (3, 3)","Modern Learning Technologies","M","4:35 PM - 7:05 PM","Shin, Sunghee","OL 01","20","25","Online Sync",
"001","28401","EECE 220 (3, 3)","Modern Learning Technologies","W","4:35 PM - 7:05 PM","Shin, Sunghee","OL 01","19","25","Online Sync",
"001","27589","EECE 240W (3, 3)","Foundations of Bilingual Ed","W","1:40 PM - 4:30 PM","Ossa Parra, Marcela","PH 013","25","25","In-Person",
"003","28590","EECE 310W (3, 3)","Cultural Context I: Child Dev","T","1:00 PM - 3:40 PM","Akiba, Daisuke","PH 018","17","25","In-Person",
"001","28593","EECE 310W (3, 3)","Cultural Context I: Child Dev","M","9:10 AM - 12:00 PM","Perrone, Michael","PH 013","25","25","In-Person",
"004","28592","EECE 310W (3, 3)","Cultural Context I: Child Dev","W","9:10 AM - 12:00 PM","Akiba, Daisuke","PH 018","15","25","In-Person",
"002","28591","EECE 310W (3, 3)","Cultural Context I: Child Dev","M","1:40 PM - 4:30 PM","Akiba, Daisuke","PH 016","24","25","In-Person",
"002","28391","EECE 326 (3, 3)","Tch Biliteracy Early Chld Grds","W","4:35 PM - 7:05 PM","Lee, Michelle","KY 426","19","25","In-Person",
"001","28460","EECE 327 (3, 3)","Tch Biliteracy Elementary Grd","M","1:40 PM - 4:30 PM","Ossa Parra, Marcela","PH 018","19","25","In-Person",
"004","28586","EECE 335 (3, 3)","Intro to Classroom Experience","T","1:00 PM - 3:40 PM",", ","PH 013","16","25","In-Person",
"002","29253","EECE 335 (3, 3)","Intro to Classroom Experience","M","4:35 PM - 7:05 PM",", ","RA 202","25","25","In-Person",
"005","28543","EECE 335 (3, 3)","Intro to Classroom Experience","W","1:40 PM - 4:30 PM","Cox, Kersandra","SB D133","25","25","In-Person",
"001","28583","EECE 335 (3, 3)","Intro to Classroom Experience","M","1:40 PM - 4:30 PM","Cox, Kersandra","PH 013","25","25","In-Person",
"006","28389","EECE 335 (3, 3)","Intro to Classroom Experience","W","4:35 PM - 7:05 PM",", ","PH 015","25","25","In-Person",
"003","28587","EECE 335 (3, 3)","Intro to Classroom Experience","T","9:10 AM - 12:00 PM",", ","PH 013","25","25","In-Person",
"006","28386","EECE 337 (3, 3)","Curr &amp; Environmental Design I","W","4:35 PM - 7:05 PM","Hicks, Tiffany","RA 209","25","25","In-Person",
"001","28582","EECE 337 (3, 3)","Curr &amp; Environmental Design I","M","9:10 AM - 12:00 PM","Cooper, Patricia","PH 018","25","25","In-Person",
"003","29252","EECE 337 (3, 3)","Curr &amp; Environmental Design I","T","1:00 PM - 3:40 PM","Faivre, Geraldine","PH 016","10","25","In-Person",
"005","28541","EECE 337 (3, 3)","Curr &amp; Environmental Design I","W","1:40 PM - 4:30 PM","Faivre, Geraldine","PH 016","25","25","In-Person",
"002","28542","EECE 337 (3, 3)","Curr &amp; Environmental Design I","M","1:40 PM - 4:30 PM","Faivre, Geraldine","KY 416","24","25","In-Person",
